DPS,EBIT,FCF,NetDebt_to_Sales,DPS_E,EBIT_E,DPS_Derection
750,290.63,319.27,41.33,,522,-1
,290.87,343.69,28.2,,,-1
250,291.28,-27.88,76.04,200,412.25,-1
260,291.48,-70.66,,226,358.17,-1
275,291.63,242.57,17.47,300,384.5,-1
120,291.74,305.46,5.89,,320,-1
25,292.25,493.69,,25,372,-1
350,294.2,208.66,0.23,11,338,-1
35,294.73,310.03,12.56,,435,-1
30,295.38,158.99,23.35,,,-1
500,295.8,20.49,4.41,,,-1
,297.34,187.57,477.53,,,-1
63,298.61,-180.94,49.08,,,-1
700,299.27,259.53,,,,-1
70,300.21,166.01,38.16,78,567,-1
,300.41,778.99,47.83,,,-1
500,300.62,-272.79,52.19,,,-1
750,302.25,564.37,,909,423.72,-1
,304.84,-147.16,47.55,,,-1
500,306.18,70.51,113.65,,421,-1
100,307.44,329.58,14.97,,,-1
160,308.98,66.35,31.23,,,-1
100,310,408.53,42.73,,,-1
,310.98,91.51,57.57,,452.38,-1
100,312.15,268.3,0.63,78,339.6,-1
300,312.76,273.13,0.97,300,334,-1
1500,313.29,535.67,10.7,,,-1
200,313.74,388.55,30.79,200,272.2,-1
1750,314.76,327.97,17.47,1625,614.17,-1
150,315.77,266.48,28.07,,,-1
500,316.91,-63.42,22.73,400,428,-1
210,317.07,246.37,3.41,210,,-1
125,320.21,899.78,91.18,,,-1
100,321.54,-10.94,18.56,,,-1
275,322.97,208.47,19.16,,,-1
150,325.04,-146.83,20.6,,,-1
100,325.92,39.9,6.4,100,399.67,-1
,326.1,145.67,28.04,,,-1
1650,326.22,448.31,1.49,,,-1
150,327.32,-53.07,8.16,187,608,-1
2500,327.98,-212.51,6.56,,,-1
8000,332.32,782.85,1.04,7603,450.37,-1
600,332.38,1205.77,21.18,600,473.75,-1
5,333.95,-19.92,30.33,,,-1
1000,333.97,216.76,,,464,-1
150,334.21,446.27,0.11,130,327,-1
45,334.57,-224.39,104.14,,,-1
700,335.45,-42.77,3.52,,227,-1
100,335.79,605.03,61.12,,,-1
400,337.42,107.97,36.76,400,225,-1
850,337.7,-234.85,26.39,,,-1
56,339.07,241.29,37.28,,,-1
350,339.77,1559.86,0.47,450,498,-1
600,339.87,466.24,7.94,600,460,-1
1000,339.94,-243.15,35.26,1000,548.11,-1
,339.95,-40.57,28.77,,,-1
120,341.01,434.72,30.01,,,-1
75,341.5,320.14,52.76,75,407.33,-1
80,341.99,84.19,0.46,100,541,-1
,342.08,3773.07,67.28,2250,1509.67,-1
164,342.15,229.12,14.42,150,402,-1
300,343.59,-150.55,17.26,400,625.33,-1
1400,344.11,-606.25,37.29,,721,-1
175,344.39,257.57,14.92,,,-1
,347.46,-283.86,39.06,,601.21,-1
500,348.54,254.85,226.5,300,590,-1
,350.51,141.51,3.53,,,-1
350,351.27,287.05,,,,-1
100,351.33,-260.65,0.51,,,-1
1200,351.38,478.24,5.47,,,-1
900,351.44,1022.23,2.35,,,-1
20,352.64,-283.56,23.38,,,-1
150,353,414.75,16.84,154,502.45,-1
250,354.12,-9.75,66.73,,,-1
150,354.71,349.21,58.9,,,-1
100,356.09,1063.09,34.32,200,678.8,-1
450,357.82,110.38,25.65,,,-1
1000,358.12,268.26,,,,-1
663,358.97,180.6,18.7,,,-1
900,359.09,155.72,,1011,538.17,-1
1250,359.49,215.96,6.14,,,-1
250,360.32,611.41,105.24,,,-1
60,360.62,-76.52,21.47,,563,-1
2000,361.78,13.42,7,,,-1
50,362.05,297.96,32.39,,,-1
100,363.43,470.21,20.15,,,-1
300,366.71,-380.12,34.11,294,397.14,-1
1500,368.09,345.82,,,,-1
600,368.67,317.93,,650,420,-1
30,368.77,430.62,39.96,,,-1
2500,369.01,168.91,0.34,,,-1
1200,369.84,186.37,10.73,,,-1
,371.56,8816.82,17.42,,,-1
1500,372.39,245.47,19.37,,,-1
1500,372.45,1012.57,13.81,,,-1
300,372.87,24.94,70.18,,,-1
,377.09,386.49,17.63,100,479,-1
2000,379.24,-255.01,12.61,1500,510.67,-1
,382.38,69.36,0.23,,420,-1
,384.19,-228.6,36.2,,,-1
500,385.54,241.52,16.92,350,511,-1
1000,387.48,237.71,13.74,,,-1
80,390.46,-6.22,0.51,90,496,-1
350,393.07,-75.69,69.48,,,-1
1000,394.11,286.92,16.14,,,-1
,394.62,-167.51,30.46,,,-1
1750,395.41,394.07,,,,-1
60,397.51,349.21,9.87,,769,-1
60,398.16,522.02,60.56,,625,-1
1250,398.38,578.99,1.27,1425,738.17,-1
3250,398.65,264.95,14.83,,,-1
300,398.7,386.02,22.55,300,469,-1
1000,398.84,262.28,15.67,1000,373,-1
750,401.03,102.54,,750,497.06,-1
330,401.14,136.18,73.79,,,-1
,404.96,130.23,33.65,,,-1
270,405.92,487.1,14.7,,,-1
60,408.01,417.18,1.04,,460,-1
175,408.9,775.83,16.26,175,370,-1
1500,409.39,1129.92,14.12,2375,1064.4,-1
70,409.4,281.53,40.96,55,680.4,-1
300,409.62,4.02,5.72,200,583.5,-1
200,410.25,365.53,27.48,,,-1
175,410.44,243.94,27.74,,,-1
2000,411.07,278.05,18.33,,,-1
1500,411.15,122.02,3.17,1436,645.46,-1
2200,411.2,205.58,70.77,,,-1
400,411.43,1551.24,33.45,600,888.53,-1
600,412.61,-211.24,27.25,850,590.41,-1
700,415.91,324.47,0.2,,,-1
1000,418.28,725.72,,,,-1
300,418.38,-96.11,,300,498.42,-1
180,423.09,212.04,79.24,,,-1
300,424.86,83.72,3.33,310,521.52,-1
1200,424.92,145.23,14.87,1000,499.21,-1
200,428.01,291.34,7.5,,,-1
75,429.36,1076.3,59.98,81,975.05,-1
700,432.18,345.76,0.01,,,-1
250,433.2,-9.1,14.52,150,638,-1
,433.49,347.28,0.42,,,-1
180,434.37,762.43,86.59,,,-1
900,434.96,556.16,10.53,1400,102,-1
300,435.18,127.28,15.24,300,591,-1
600,435.2,1430.28,14.99,600,521.25,-1
700,435.64,-741.06,28.21,743,629.2,-1
,437.34,-758.58,101.74,,578.78,-1
500,440.3,262.16,27.36,433,455.98,-1
,440.75,2727.5,40.07,,1350,-1
2000,441.62,586.37,12.75,,,-1
,442.55,424.29,14.61,88,405.67,-1
80,443.89,67.49,9.46,100,537,-1
,445.32,-448.55,104.52,,538.67,-1
,446.97,406.2,128.53,,,-1
100,447.48,472.94,28.71,650,450,-1
,451.27,682.44,10.01,450,589.36,-1
,454.25,1762.13,51.62,50,1376.91,-1
240,454.85,269.53,3.46,247,482,-1
3250,455.63,893.25,18.11,3000,393.5,-1
350,456.21,484.04,,250,404.25,-1
,457.5,841.78,53.46,,,-1
400,458.27,104.13,20.26,,484,-1
150,458.32,291.79,5.71,100,784.5,-1
500,459.75,-48.54,51.71,,,-1
1200,460.17,374.35,19.12,,,-1
,460.79,-887.34,96.51,,1880.54,-1
100,461.64,295.45,26.09,100,567,-1
230,468.17,830.25,302.99,,519,-1
100,468.24,77.83,8.85,,588.33,-1
350,468.53,518.06,3.77,350,556,-1
100,470.49,28.35,6.31,117,539,-1
650,470.53,34.78,31.09,634,558.91,-1
2000,470.6,728.66,18.87,,,-1
300,471.16,801.7,4.73,380,499,-1
100,471.51,101.04,28.15,90,632.68,-1
1500,472.19,499.53,,,,-1
8500,474.56,331.42,0.83,8990,573.06,-1
700,476.73,520.55,,,,-1
200,477.57,-134.39,8.8,150,646.5,-1
900,479.39,467.73,5.82,900,743.66,-1
270,480.72,356.83,88.78,,,-1
100,484.14,276.12,32.21,,640,-1
400,485.96,-647.11,7.39,375,1060.44,-1
1500,486.43,235.06,13.09,,,-1
,487.21,-536.9,4.02,703,862.83,-1
500,490.85,54.79,,614,570.29,-1
50,492.57,408.77,,61,536.64,-1
900,493.19,156.47,0.14,726,787,-1
250,493.32,-983.1,51.17,,,-1
750,493.69,375.16,77.55,323,543.85,-1
200,494.2,498.74,21.34,,,-1
600,498.78,-403.15,12.43,650,794.91,-1
170,500.3,456.7,26.37,,,-1
2000,501.26,-244.14,7.81,1893,923.15,-1
80,504.59,36.56,12.48,80,519,-1
250,505.01,186.15,25.3,100,286.43,-1
1000,505.49,-101.35,52.42,1000,267,-1
100,506.76,4.47,0.25,80,664,-1
300,507.31,-839.63,337.09,,,-1
2000,508.65,338.79,25.94,,,-1
550,509.6,430.97,,,,-1
1250,518.36,511.26,66.26,,,-1
700,519.44,-217.93,19.62,829,748.94,-1
350,519.59,325.72,,263,580.02,-1
600,520.39,866.67,2.06,625,583,-1
3000,523.91,575.42,5.28,2500,464,-1
1250,527.23,510.88,,1300,529.26,-1
270,527.72,445.53,274.78,230,506,-1
,529.14,343.67,145.27,10,1113.82,-1
800,530,594.68,17.99,795,654.29,-1
1500,530,837.23,20.86,900,644.57,-1
1000,533.74,444.42,57.73,1000,,-1
150,537.5,92.68,0.64,106,540.89,-1
800,539.3,313.99,22.89,513,715.22,-1
250,541.15,397.41,4.24,150,771.85,-1
350,541.65,330.11,11.67,1165,501.79,-1
,541.86,363.03,42.08,,660,-1
160,542.77,280.6,36.15,155,912.33,-1
500,548.49,156.99,12.36,,,-1
850,555.24,585.12,24.16,611,872.5,-1
,556.79,-3131.01,162.88,,1309.36,-1
250,557.13,916.07,8.81,121,606.6,-1
500,563.29,224.26,49.03,,,-1
300,563.62,472.8,0.03,283,817.96,-1
1500,565.06,-242.28,12.75,,,-1
1000,565.62,282.82,33.78,918,492.58,-1
1500,567.77,301.94,3.18,1500,663,-1
250,567.89,182.97,,260,793.31,-1
500,568.43,2426.49,0.42,270,749.6,-1
,568.44,-440.76,40.15,,,-1
6000,571.55,164.66,0.14,,,-1
,574.75,-533.06,48.25,625,619.58,-1
350,574.87,33.45,5.06,350,597,-1
40,578.07,853.56,8.58,40,691,-1
15,581.39,81.15,55.07,,1700,-1
1250,581.86,218.65,,1250,590,-1
1250,584.39,417.95,,1250,623.16,-1
2000,585.52,653.72,14.96,1750,606,-1
1500,586.67,211.15,2.09,1275,668.92,-1
1000,590.47,1264.58,26.25,,,-1
2000,592.06,761.42,114.58,,,-1
700,594.71,180.58,10.52,,,-1
200,597.1,79.58,15.03,157,629.29,-1
711,600.09,806.25,23.27,500,737.14,-1
7000,600.25,533.34,,6450,699.26,-1
500,602.3,745.14,5.1,325,614.83,-1
300,602.7,-2588.18,53.72,373,1355.47,-1
450,606.01,82.25,0.65,474,685.13,-1
750,609.58,365.7,8.63,,,-1
3000,609.7,-257.59,17.01,,,-1
2100,611.97,-68.71,13.03,,,-1
500,613.87,499.36,20.03,600,656,-1
1500,615.64,597.02,60.95,1000,710,-1
185,617.98,700.78,46.78,199,787.5,-1
75,618.43,1029.92,44.11,110,760,-1
,618.44,1549.55,7.73,200,582,-1
300,618.59,-2393.47,115.99,,889.5,-1
,618.95,527.42,38.47,,834.67,-1
2000,620.6,825.67,105.93,,,-1
450,621.19,331.92,31.18,538,801.14,-1
300,622.79,-233.62,2.12,350,839.67,-1
45,624.61,-134,35.15,58,1011.5,-1
220,628.46,333.11,0.53,276,690.64,-1
400,633.59,406.74,14.79,271,854.14,-1
120,633.8,-19.67,18.93,120,312.9,-1
1100,634.19,388.42,31.71,1000,780,-1
1500,637.82,364.17,31.28,,,-1
450,642.96,149.35,10.91,,,-1
625,646.04,502.29,16,,,-1
200,650.4,320.88,28.05,,,-1
350,652.23,400.43,18,,,-1
2500,652.63,923.5,0.87,2250,832.5,-1
1750,652.67,1871.49,,,596,-1
253,656.61,428.25,,12,733.85,-1
700,657.08,430.15,17.43,,,-1
280,657.23,343.95,0.45,1250,500,-1
1400,665.23,559.74,13.25,,690,-1
400,666.49,180,0.11,290,741,-1
250,667.02,-287.8,26.19,,,-1
75,671.92,260.2,16.27,,,-1
300,672,-131.47,0.75,,,-1
120,680.1,444.35,29.36,200,841,-1
1100,680.47,629.93,42.53,,,-1
500,682.47,2052.6,39.77,530,1133.93,-1
90,687.29,656.35,61.84,,,-1
140,688.66,398.64,21.31,,747,-1
100,689.58,981.07,33.3,,823,-1
2000,695.81,692.45,17.43,,,-1
500,696.04,292.2,57.48,533,814.33,-1
300,699.26,-2018,29.66,250,1358.33,-1
1000,701.9,282.1,0.01,750,928.5,-1
800,702.85,247.58,4.99,808,832.28,-1
350,703.37,-134.66,74.77,357,1053.79,-1
,704.2,696.67,52.88,250,1163.1,-1
1000,708.18,5423.67,32.48,1411,2912.56,-1
350,709.74,-520.17,26.27,,,-1
110,709.77,592.64,23.77,110,1014,-1
,711.64,1537.35,20.71,,2226.35,-1
800,713.72,64.18,6.28,750,945.66,-1
1000,716.91,100.32,14.81,,,-1
2500,723.59,-541.1,16.55,2583,864.33,-1
150,724.16,443.73,31.62,78,771,-1
300,724.67,769.67,0.14,300,1211.2,-1
150,725.09,198.76,17.9,473,867.33,-1
75,728.65,305.4,59.2,90,809.06,-1
350,730.19,1105.92,33.7,372,885.8,-1
2500,733.03,651.63,8.66,2500,848.14,-1
250,735.98,2846.67,24.6,650,984.49,-1
74,737.45,220.88,23.76,,,-1
2000,740.04,586,13.3,,,-1
800,742.46,-233.61,6.11,876,943.19,-1
1500,742.65,-55.38,2.94,1500,960.33,-1
,743.23,1086.16,37.24,,,-1
850,743.35,95.66,28.85,876,1628.33,-1
1750,743.93,-121.17,6.9,1561,785.6,-1
100,744.21,300.56,95.31,,,-1
800,747.01,531.57,14.07,,,-1
300,750.1,515.58,6.08,300,833.67,-1
350,751.31,390.72,5.91,425,1123,-1
,754.97,-2014.54,63.24,,818,-1
180,757.28,281.88,6.45,160,511.5,-1
1090,758.58,333.49,20.91,866,877.39,-1
350,762.46,1783.48,39.62,350,,-1
140,763.5,900.29,43.37,70,1046,-1
450,767.29,460.77,89.81,494,894.57,-1
100,767.64,-503.32,21.19,175,933,-1
500,769.17,1636.12,35.34,,,-1
500,770.67,1583.34,48.49,500,1145.67,-1
1750,777.05,2593.83,22.56,1500,1003.33,-1
200,777.07,-92.98,52.29,355,1087.82,-1
800,782.85,286.14,11.55,425,931.75,-1
220,784.7,645.73,1.94,,,-1
2100,785.18,434.58,,2000,891.35,-1
,790.53,-2423.09,195.26,,1103.5,-1
1000,791.52,621.35,41.9,1057,1018.39,-1
600,799.85,736.22,51.79,440,845.88,-1
3250,804.73,1151,184.9,,,-1
300,810.17,238.53,10.61,,882,-1
300,813.49,161.95,7.33,100,995.5,-1
4,814.5,898,,24,,-1
600,815.52,473.58,18.04,500,888,-1
250,815.69,316.74,29.48,210,836,-1
200,816.92,1823.62,13.29,327,2067.36,-1
300,818.07,1454.16,4.43,250,1209.5,-1
500,820.6,422.39,27.87,,868,-1
3000,822.76,400.63,10.25,2083,916,-1
188,823.92,28.84,42.93,,,-1
245,824.24,138.03,32.74,,,-1
1700,824.41,197.71,6.47,677,762.57,-1
300,826.82,758.28,1.24,,,-1
100,834.49,88.53,43.99,,,-1
195,834.89,322.77,35.96,,870,-1
700,835.93,180.29,33.14,530,682.32,-1
2500,842.95,495.19,5.78,2500,816.5,-1
500,843.21,101.01,25.01,,,-1
250,849.36,440,17.72,,,-1
,851.13,-132.15,7.68,,1210.5,-1
300,852.09,263.54,9.82,,1170,-1
300,853.42,310.88,3.31,225,998.2,-1
250,855.19,759.04,46.97,,,-1
2110,855.58,2175.93,90.62,1733,1542.79,-1
550,857.7,299.95,24.01,,,-1
2000,858.37,-216.55,13.43,1775,997.83,-1
1500,861.16,59.43,14.3,,,-1
1300,861.6,-357.18,21.39,1325,2247,-1
500,862.05,1683.86,36.4,575,899.93,-1
500,863.49,1465.17,18.17,,,-1
,872.01,-12.54,13.24,,,-1
500,879.68,-12.22,39.26,,,-1
400,881.84,176.81,29.77,,,-1
4000,885.6,178.85,3.95,4214,1037.21,-1
2000,887.1,143.13,9.15,1942,1267.16,-1
450,889.78,-328.36,19.27,,,-1
1400,892.62,-411.33,25.66,1558,1273,-1
4000,897.03,263.76,4.47,4056,1175.55,-1
,897.35,608.48,19.73,,,-1
,898.57,-157.67,28.33,,,-1
500,902.87,598.19,4.76,750,381.67,-1
701,908.66,895.17,10.75,1458,820.25,-1
,910.3,972.16,14.77,,1231.13,-1
1500,911.68,1268.75,82.19,,,-1
250,914.43,952.85,41.12,363,1049.54,-1
1500,919.71,1180.09,19.37,1100,1056.92,-1
1500,920.5,220.13,0.51,1000,1173.25,-1
4000,926.03,639.61,4.57,4033,1058.87,-1
,932.04,11458.03,186.29,,2040,-1
625,946.91,941.34,13.32,,,-1
,949.58,185.34,3.76,,-25.2,-1
1400,962.49,1323.64,24.94,1400,1102,-1
1000,966.79,894.87,,1130,1291.15,-1
1000,967.17,-245.74,29.12,1000,1207.08,-1
500,967.21,-27.21,28.67,413,1260.63,-1
1250,973.55,797.16,0.39,,,-1
650,981.15,452.32,,550,969,-1
250,981.29,910.01,38.26,528,1123.36,-1
750,982.75,582.79,20.14,,,-1
1500,983.05,1198.86,102.81,,,-1
250,984.94,694.67,48.71,250,1376,-1
4000,1015.55,154.82,5.54,4117,1508.79,-1
45,1018.29,-53.55,23.19,59,1417.75,-1
3300,1023.43,799.3,0.29,,,-1
375,1030.39,2637.17,,525,1771.07,-1
250,1032.87,178.11,0.01,250,1034.25,-1
350,1039.61,14.88,2.32,336,1250.57,-1
75,1049.7,2269,69.8,131,1316.16,-1
500,1050.16,-1418.6,35.4,,,-1
3500,1050.76,587.86,6.52,3000,1180.33,-1
4000,1050.87,845.26,5.03,4380,1426.77,-1
205,1057.25,338.5,29.27,,,-1
,1062.34,5899.73,60.73,16,1319.25,-1
300,1062.51,923.04,0.61,200,1224,-1
400,1062.99,-160.75,1.46,393,1419.19,-1
160,1065.15,1027.66,0.14,338,1441.84,-1
1000,1066.61,-447.63,34.11,1050,1410.7,-1
1000,1068.35,1910.29,19.35,1167,1477.4,-1
700,1069.92,513.91,0.32,,,-1
4000,1071.97,524.67,5.06,4258,1084.8,-1
300,1076.09,-1670.28,29.84,,,-1
200,1089.47,1614.29,43.79,275,1283.97,-1
500,1089.94,319.12,32.07,500,1226,-1
1070,1100.76,275.82,,1204,1309.02,-1
500,1105.41,-489.05,14.48,557,2236.38,-1
500,1112.82,911.2,11.59,,,-1
1500,1112.88,897.34,9.9,1518,1429.5,-1
100,1115.57,596.35,27.06,100,675,-1
1250,1115.73,613.97,40.88,,,-1
300,1119.72,-532.3,47.2,300,377,-1
250,1129.93,631.46,45.57,,1710,-1
800,1136.11,2242.6,,581,1556.65,-1
350,1141.66,2078.78,31.75,333,1227.61,-1
1100,1142.22,251.1,,1367,1559.25,-1
300,1151.93,-626.24,24.41,,,-1
1150,1152.74,406.87,,1255,1299.33,-1
148,1161.35,2812.18,68.29,168,1926.78,-1
1000,1168.95,-10758.14,22.45,1220,3896.3,-1
620,1177.77,597.19,51.21,,,-1
4000,1182.88,370.93,6.97,4033,1208.2,-1
500,1195.08,493.2,10.89,563,1516.75,-1
,1200.66,94.14,41.32,,1690.75,-1
560,1206.32,-1163.51,6.57,903,1460.5,-1
600,1212.09,323.68,29.06,562,1419.85,-1
300,1216.76,-5231.86,55.4,306,1779.53,-1
550,1226,222.44,35.39,554,1392.73,-1
350,1226.75,1985.36,9.6,236,1671.23,-1
200,1231.18,-5803.45,50.12,200,2108,-1
350,1231.46,951.25,8.91,,1480,-1
1000,1239.36,378.88,10.45,852,1309.2,-1
1700,1253.28,147.27,,1542,1354.83,-1
500,1254.16,966.53,62.86,487,1281.6,-1
3800,1255.92,6.75,11.03,2833,860.67,-1
,1263.81,274.8,0.16,161,1494.61,-1
1200,1266.39,2100.32,,1233,1882.79,-1
,1267.56,-1368.61,39.37,218,5982.9,-1
250,1268.75,513.18,39.49,250,1520,-1
300,1292.63,678.64,21.12,419,1797.74,-1
600,1298.13,747.35,28.19,567,1487.29,-1
3500,1303.86,506.1,21.56,3600,1506.2,-1
965,1328.53,246.62,136.23,2550,1400,-1
120,1335.42,-2159.26,20.8,120,1834.27,-1
150,1336.99,387.35,27.32,,,-1
1000,1339.87,2007.62,58.82,973,1446.65,-1
500,1341.64,630.14,31.36,500,2050,-1
1750,1343.71,1643.15,89.98,,,-1
375,1350.1,1051.67,46.83,,,-1
1800,1357.32,1269.29,7.53,1861,1475.86,-1
350,1357.55,1482.57,87.75,460,1849.14,-1
1500,1376.04,511.52,18.38,,,-1
200,1395.24,1142.39,35.68,412,1922.67,-1
2400,1400.99,491.15,9.17,2200,1764.33,-1
300,1403.16,331.04,24.06,150,1641,-1
2000,1410.13,692.01,33.89,,1741.13,-1
6800,1425.01,548.24,6.76,5440,1491.64,-1
9200,1428.77,-302.44,49.68,4425,1724.12,-1
400,1429.67,722.87,0.45,250,1344,-1
250,1431.95,827.44,52.31,,1444.65,-1
500,1449.26,-63.77,110.02,524,1918.21,-1
,1449.61,2822.21,45.04,108,1973.5,-1
1300,1451.38,893.4,,1107,1620.3,-1
600,1452.7,1575.34,0.6,570,2136.38,-1
7000,1460.55,481.32,5.64,6913,1633.67,-1
1500,1473.35,1046.62,26.56,1750,1908.5,-1
7500,1482.78,-805.71,12.28,8000,1722.29,-1
1700,1488.55,173.56,25.2,1600,1684,-1
1000,1491.05,3503.36,28.67,1000,2010.11,-1
250,1494.74,1694.29,75.57,,2316,-1
300,1495.49,1217.31,0.6,297,1468.6,-1
300,1495.85,-4586.38,37.83,400,1978.2,-1
3500,1500.37,164.85,30.92,3143,1809.77,-1
1000,1507.36,528.75,5.82,665,1657.4,-1
600,1512.52,728.66,1.62,785,3333.43,-1
7500,1517.25,384.23,12.07,7511,1678.73,-1
1800,1519.34,633.8,41.21,1567,1855.67,-1
1100,1528.31,1703.57,0.66,1125,1662.47,-1
270,1531.48,995.32,32.03,270,2147,-1
800,1532.45,-1412.79,28.94,700,1791.25,-1
180,1546.18,1548.39,35.68,170,1498,-1
150,1558.23,1218.42,25.9,156,1508.84,-1
850,1566.51,1323.89,17.39,775,1786.29,-1
1800,1569.91,-285.64,28.5,1802,1659.76,-1
200,1585.61,1295.93,11.13,406,1106.99,-1
600,1588.66,1570.03,35.7,500,1675,-1
170,1595.08,404.22,23.82,,,-1
1750,1598.01,2103.59,7.6,,,-1
1100,1610.51,1963.4,69.11,1209,1893.33,-1
1200,1610.76,2005.12,24.18,1310,1737.91,-1
3800,1616.56,-183.95,139.51,2919,1858.91,-1
600,1617.83,623.46,31.57,667,1826.06,-1
,1618.33,3183.12,17.27,643,2633.71,-1
60,1622.01,1621.28,23.32,30,1543.74,-1
700,1623.01,1454.88,116.28,354,1995.91,-1
240,1630.34,-2301.69,31.53,,,-1
1000,1632.45,2612.82,46.79,900,1823,-1
650,1641.2,-667.15,6.93,,,-1
8000,1665.75,618.11,20.95,8500,1834,-1
1250,1671.88,497.86,,1267,1854.23,-1
,1689.35,1078.33,25.62,12,4951.56,-1
600,1696.64,118.75,46.72,654,1784.06,-1
600,1712.76,1392.3,32.36,628,1794.55,-1
2200,1723.25,1985.56,16.45,2213,1702.13,-1
3750,1723.84,153.93,31.41,3705,1833.75,-1
1200,1725.58,1570.88,,1281,2171.5,-1
700,1743.92,365.93,27.97,608,1936.43,-1
3000,1752.2,314.7,29.73,2500,2188.06,-1
1750,1753.7,1736.41,16.59,,,-1
900,1756.95,956.35,53.31,969,2310.53,-1
