Date,Short Ratio
2016-07-01,0.07
2016-07-08,0.06
2016-07-15,0.06
2016-07-22,0.07
2016-07-29,0.06
2016-08-05,0.06
2016-08-12,0.05
2016-08-19,0.06
2016-08-26,0.06
2016-09-02,0.06
2016-09-09,0.06
2016-09-16,0.06
2016-09-23,0.07
2016-09-30,0.05
2016-10-07,0.08
2016-10-14,0.07
2016-10-21,0.09
2016-10-28,0.08
2016-11-04,0.09
2016-11-11,0.08
2016-11-18,0.08
2016-11-25,0.12
2016-12-02,0.09
2016-12-09,0.08
2016-12-16,0.07
2016-12-23,0.06
2016-12-30,0.07
2017-01-06,0.09
2017-01-13,0.08
2017-01-20,0.05
2017-01-27,0.14
2017-02-03,0.23
2017-02-10,0.28
2017-02-17,0.29
2017-02-24,0.31
2017-03-03,0.36
2017-03-10,0.41
2017-03-17,0.43
2017-03-24,0.43
2017-03-31,0.38
2017-04-07,0.3
2017-04-14,0.22
2017-04-21,0.18
2017-04-28,0.2
2017-05-05,0.19
2017-05-12,0.15
2017-05-19,0.13
2017-05-26,0.14
2017-06-02,0.13
2017-06-09,0.14
2017-06-16,0.1
2017-06-23,0.11
2017-06-30,0.11
2017-07-07,0.11
2017-07-14,0.13
2017-07-21,0.1
2017-07-28,0.11
2017-08-04,0.1
2017-08-11,0.09
2017-08-18,0.1
2017-08-25,0.1
2017-09-01,0.11
2017-09-08,0.11
2017-09-15,0.06
2017-09-22,0.08
2017-09-29,0.07
2017-10-06,0.07
2017-10-13,0.06
2017-10-20,0.04
2017-10-27,0.06
2017-11-03,0.04
2017-11-10,0.05
2017-11-17,0.05
2017-11-24,0.05
2017-12-01,0.04
2017-12-08,0.04
2017-12-15,0.04
2017-12-22,0.02
2017-12-29,0.02
2018-01-05,0.03
2018-01-12,0.04
2018-01-19,0.04
2018-01-26,0.04
2018-02-02,0.03
2018-02-09,0.04
2018-02-16,0.05
2018-02-23,0.05
2018-03-02,0.05
2018-03-09,0.04
2018-03-16,0.05
2018-03-23,0.06
2018-03-30,0.07
2018-04-06,0.08
2018-04-13,0.09
2018-04-20,0.09
2018-04-27,0.1
2018-05-04,0.11
2018-05-11,0.08
2018-05-18,0.08
2018-05-25,0.09
2018-06-01,0.11
2018-06-08,0.11
2018-06-15,0.1
2018-06-22,0.09
2018-06-29,0.06
2018-07-06,0.09
2018-07-13,0.09
2018-07-20,0.09
2018-07-27,0.08
2018-08-03,0.07
2018-08-10,0.08
2018-08-17,0.08
2018-08-24,0.1
2018-08-31,0.08
2018-09-07,0.08
2018-09-14,0.08
2018-09-21,0.08
2018-09-28,0.07
2018-10-05,0.08
2018-10-12,0.08
2018-10-19,0.09
2018-10-26,0.1
2018-11-02,0.09
2018-11-09,0.09
2018-11-16,0.1
2018-11-23,0.1
2018-11-30,0.09
2018-12-07,0.07
2018-12-14,0.08
2018-12-21,0.06
2018-12-28,0.06
2019-01-04,0.07
2019-01-11,0.07
2019-01-18,0.07
2019-01-25,0.08
2019-02-01,0.09
2019-02-08,0.09
2019-02-15,0.08
2019-02-22,0.07
2019-03-01,0.05
2019-03-08,0.05
2019-03-15,0.05
2019-03-22,0.05
2019-03-29,0.06
2019-04-05,0.06
2019-04-12,0.06
2019-04-19,0.08
2019-04-26,0.09
2019-05-03,0.08
2019-05-10,0.08
2019-05-17,0.09
2019-05-24,0.09
2019-05-31,0.08
2019-06-07,0.07
2019-06-14,0.07
2019-06-21,0.06
2019-06-28,0.06
2019-07-05,0.05
2019-07-12,0.06
2019-07-19,0.06
2019-07-26,0.06
2019-08-02,0.07
2019-08-09,0.08
2019-08-16,0.09
2019-08-23,0.1
2019-08-30,0.09
2019-09-06,0.08
2019-09-13,0.08
2019-09-20,0.08
2019-09-27,0.06
2019-10-04,0.06
2019-10-11,0.08
2019-10-18,0.08
2019-10-25,0.08
2019-11-01,0.08
2019-11-08,0.08
2019-11-15,0.1
2019-11-22,0.09
2019-11-29,0.09
2019-12-06,0.09
2019-12-13,0.08
2019-12-20,0.07
2019-12-27,0.08
2020-01-03,0.09
2020-01-10,0.09
2020-01-17,0.1
2020-01-24,0.08
2020-01-31,0.09
2020-02-07,0.11
2020-02-14,0.1
2020-02-21,0.11
2020-02-28,0.1
2020-03-06,0.14
2020-03-13,0.17
2020-03-20,0.17
2020-03-27,0.2
2020-04-03,0.18
2020-04-10,0.2
2020-04-17,0.16
2020-04-24,0.17
2020-05-01,0.15
2020-05-08,0.15
2020-05-15,0.17
2020-05-22,0.17
2020-05-29,0.17
2020-06-05,0.13
2020-06-12,0.13
2020-06-19,0.16
2020-06-26,0.2
2020-07-03,0.17
2020-07-10,0.16
2020-07-17,0.16
2020-07-24,0.17
2020-07-31,0.16
2020-08-07,0.16
2020-08-14,0.15
2020-08-21,0.15
2020-08-28,0.15
2020-09-04,0.14
2020-09-11,0.12
2020-09-18,0.13
2020-09-25,0.13
2020-10-02,0.12
2020-10-09,0.14
2020-10-16,0.12
2020-10-23,0.12
2020-10-30,0.13
2020-11-06,0.11
2020-11-13,0.11
2020-11-20,0.11
2020-11-27,0.1
2020-12-04,0.07
2020-12-11,0.05
2020-12-18,0.04
2020-12-25,0.03
2021-01-01,0.05
2021-01-08,0.04
2021-01-15,0.06
2021-01-22,0.06
2021-01-29,0.06
2021-02-05,0.07
2021-02-12,0.04
2021-02-19,0.06
2021-02-26,0.06
2021-03-05,0.06
2021-03-12,0.05
2021-03-19,0.06
2021-03-26,0.04
2021-04-02,0.04
2021-04-09,0.04
2021-04-16,0.04
2021-04-23,0.05
2021-04-30,0.05
2021-05-07,0.04
2021-05-14,0.06
2021-05-21,0.05
2021-05-28,0.04
2021-06-04,0.03
2021-06-11,0.03
2021-06-18,0.05
2021-06-25,0.04
2021-07-02,0.05
2021-07-09,0.05
2021-07-16,0.04
2021-07-23,0.03
2021-07-30,0.03
2021-08-06,0.01
2021-08-13,0.02
2021-08-20,0.02
2021-08-27,0.01
2021-09-03,0.03
2021-09-10,0.03
2021-09-17,0.03
2021-09-24,0.03
2021-10-01,0.05
2021-10-08,0.05
2021-10-15,0.04
2021-10-22,0.05
2021-10-29,0.06
2021-11-05,0.05
2021-11-12,0.04
2021-11-19,0.06
2021-11-26,0.07
2021-12-03,0.05
2021-12-10,0.04
2021-12-17,0.04
2021-12-24,0.02
2021-12-31,0.02
